fault_id,date_reported,location,asset_area,fault_type,severity,status,tool_required,shift,weather_condition,asset_age_days,asset_usage_hours,risk_score,days_to_resolve,ar_marker_id,assigned_engineer
F001,2026-04-10 00:00:00,Platform 2,Station,Mechanical,Medium,Open,Inspection Camera,Afternoon,Dry,172,1779,50,,AR marker M01,Engineer A
F002,2026-03-14 00:00:00,Signal Box B,Signal,Sensor,Medium,Closed,Multimeter,Afternoon,Dry,763,6973,95,5,AR marker M03,Engineer D
F003,2026-03-22 00:00:00,Tunnel Section T1,Tunnel,Electrical,Low,Closed,Insulated Screwdriver,Afternoon,Windy,134,1619,42,1,AR marker M05,Engineer A
F004,2026-04-16 00:00:00,Track Segment 7,Track,Sensor,Low,Closed,Laptop Diagnostic Kit,Night,Dry,110,4903,48,4,AR marker M01,Engineer B
F005,2026-04-19 00:00:00,Tunnel Section T1,Tunnel,Mechanical,High,Closed,Torque Wrench,Morning,Cold,419,4654,100,10,AR marker M06,Engineer B
F006,2026-04-12 00:00:00,Tunnel Section T1,Tunnel,Mechanical,Medium,Open,Torque Wrench,Afternoon,Cold,776,4110,85,,AR marker M11,Engineer E
F007,2026-03-15 00:00:00,Power Cabinet,Electrical Room,Structural,High,Closed,Crack Gauge,Morning,Rain,264,625,80,8,AR marker M10,Engineer C
F008,2026-03-14 00:00:00,Power Cabinet,Electrical Room,Signalling,Medium,Closed,Signal Tester,Night,Windy,499,2440,78,3,AR marker M09,Engineer C
F009,2026-04-17 00:00:00,Train Brake Unit,Train,Signalling,High,In Progress,Multimeter,Morning,Dry,254,2366,94,,AR marker M02,Engineer B
F010,2026-04-10 00:00:00,Signal Box A,Signal,Signalling,Medium,In Progress,Multimeter,Night,Dry,640,7768,100,,AR marker M11,Engineer A
F011,2026-04-13 00:00:00,Train Door Unit,Train,Structural,Medium,In Progress,Crack Gauge,Morning,Cold,330,7223,82,,AR marker M09,Engineer B
F012,2026-04-02 00:00:00,Platform 2,Station,Structural,High,Closed,Drill,Night,Dry,233,2604,87,6,AR marker M10,Engineer C
F013,2026-04-01 00:00:00,Platform 1,Station,Mechanical,High,Closed,Spanner,Night,Dry,881,5138,100,5,AR marker M02,Engineer D
F014,2026-04-22 00:00:00,Platform 2,Station,Sensor,Medium,Open,Multimeter,Night,Hot,516,2805,72,,AR marker M04,Engineer E
F015,2026-04-18 00:00:00,Escalator Area,Station,Electrical,Medium,In Progress,Thermal Camera,Afternoon,Dry,717,6218,100,,AR marker M04,Engineer B
F016,2026-03-05 00:00:00,Tunnel Section T2,Tunnel,Mechanical,Medium,Open,Inspection Camera,Night,Dry,255,217,48,,AR marker M04,Engineer A
F017,2026-04-27 00:00:00,Platform 1,Station,Structural,Low,Open,Drill,Morning,Windy,715,8053,83,,AR marker M10,Engineer D
F018,2026-03-16 00:00:00,Track Segment 7,Track,Signalling,Low,Open,Multimeter,Afternoon,Dry,471,5904,75,,AR marker M11,Engineer A
F019,2026-03-04 00:00:00,Track Segment 4,Track,Structural,High,Open,Inspection Camera,Afternoon,Rain,226,3216,91,,AR marker M05,Engineer D
F020,2026-03-16 00:00:00,Platform 2,Station,Signalling,High,Closed,Signal Tester,Morning,Hot,130,928,68,5,AR marker M08,Engineer D
F021,2026-03-14 00:00:00,Track Segment 4,Track,Mechanical,Low,Open,Torque Wrench,Afternoon,Windy,429,4445,63,,AR marker M11,Engineer D
F022,2026-03-10 00:00:00,Signal Box B,Signal,Structural,Low,Open,Drill,Afternoon,Dry,783,8983,84,,AR marker M01,Engineer E
F023,2026-03-31 00:00:00,Train Door Unit,Train,Sensor,Low,Closed,Laptop Diagnostic Kit,Night,Rain,112,3144,33,4,AR marker M07,Engineer A
F024,2026-04-30 00:00:00,Train Brake Unit,Train,Electrical,Medium,Open,Insulated Screwdriver,Afternoon,Rain,113,6968,81,,AR marker M11,Engineer C
F025,2026-03-16 00:00:00,Tunnel Section T1,Tunnel,Signalling,Low,Closed,Multimeter,Night,Windy,498,5280,63,1,AR marker M02,Engineer A
F026,2026-04-04 00:00:00,Signal Box B,Signal,Sensor,Low,Closed,Laptop Diagnostic Kit,Afternoon,Windy,100,4102,45,2,AR marker M12,Engineer C
F027,2026-04-09 00:00:00,Power Cabinet,Electrical Room,Sensor,Low,Closed,Laptop Diagnostic Kit,Morning,Windy,336,1797,40,2,AR marker M03,Engineer C
F028,2026-03-19 00:00:00,Train Brake Unit,Train,Electrical,Medium,Open,Insulated Screwdriver,Afternoon,Dry,679,4425,95,,AR marker M02,Engineer D
F029,2026-04-23 00:00:00,Tunnel Section T1,Tunnel,Mechanical,Low,Closed,Torque Wrench,Night,Hot,682,4391,64,5,AR marker M09,Engineer A
F030,2026-03-08 00:00:00,Platform 2,Station,Electrical,Medium,Closed,Multimeter,Afternoon,Cold,626,2526,84,3,AR marker M01,Engineer C
F031,2026-03-14 00:00:00,Power Cabinet,Electrical Room,Electrical,Medium,In Progress,Multimeter,Morning,Rain,603,6758,88,,AR marker M07,Engineer A
F032,2026-03-12 00:00:00,Escalator Area,Station,Structural,Medium,In Progress,Inspection Camera,Night,Dry,715,4165,90,,AR marker M07,Engineer A
F033,2026-04-24 00:00:00,Track Segment 7,Track,Electrical,Low,Closed,Multimeter,Night,Rain,388,5100,59,1,AR marker M07,Engineer C
F034,2026-03-18 00:00:00,Platform 2,Station,Structural,Medium,Closed,Inspection Camera,Afternoon,Rain,725,8885,100,2,AR marker M10,Engineer C
F035,2026-03-03 00:00:00,Platform 2,Station,Sensor,Medium,Closed,Calibration Tool,Night,Rain,351,7249,89,2,AR marker M05,Engineer A
F036,2026-04-15 00:00:00,Track Segment 4,Track,Mechanical,Medium,Closed,Spanner,Night,Cold,733,3328,87,5,AR marker M10,Engineer C
F037,2026-04-12 00:00:00,Platform 2,Station,Structural,Medium,Closed,Inspection Camera,Morning,Hot,364,6692,85,6,AR marker M11,Engineer D
F038,2026-04-13 00:00:00,Escalator Area,Station,Electrical,Medium,In Progress,Insulated Screwdriver,Morning,Hot,591,106,70,,AR marker M10,Engineer E
F039,2026-04-11 00:00:00,Tunnel Section T2,Tunnel,Signalling,Medium,Closed,Signal Tester,Afternoon,Windy,553,7852,95,7,AR marker M11,Engineer E
F040,2026-03-22 00:00:00,Platform 2,Station,Electrical,Medium,Open,Multimeter,Morning,Hot,233,2514,55,,AR marker M10,Engineer A
F041,2026-03-30 00:00:00,Track Segment 4,Track,Sensor,Low,Closed,Multimeter,Night,Dry,536,6647,67,1,AR marker M02,Engineer D
